,mes,dia,max_temp,avg_temp,min_temp,max_rocio,avg_rocio,min_rocio,max_humedad,avg_humedad,min_humedad,max_viento,avg_viento,min_viento,max_presion,avg_presion,min_presion,lluvia
0,Jan,1,50,41.0,37,41,37.4,34,100,87.3,62,8,2.7,0,28.1,28.0,28.0,0.00
1,Jan,2,45,40.3,34,43,38.3,32,100,93.2,81,5,1.6,0,28.1,28.1,28.0,0.00
2,Jan,3,55,50.4,43,54,48.9,43,100,94.9,88,13,4.5,0,28.0,28.0,27.9,0.00
3,Jan,4,50,48.0,46,50,47.5,46,100,98.2,93,10,2.4,0,28.0,27.9,27.7,0.00
4,Jan,5,50,45.7,41,46,37.5,32,93,74.0,54,18,8.7,1,27.8,27.7,27.6,0.00
5,Jan,6,50,40.9,34,34,31.5,28,93,70.5,50,12,3.5,0,28.0,27.9,27.8,0.00
6,Jan,7,50,38.2,30,34,29.3,27,93,73.1,46,8,2.9,0,28.1,28.0,28.0,0.00
7,Jan,8,46,36.3,27,32,28.5,25,93,74.5,53,5,2.1,0,28.1,28.0,27.9,0.00
8,Jan,9,46,41.1,37,37,35.6,32,87,81.0,71,6,2.2,0,28.0,28.0,27.9,0.00
9,Jan,10,48,43.5,39,41,39.1,37,93,85.4,76,12,4.9,0,28.0,27.9,27.9,0.00
10,Jan,11,48,39.4,32,39,32.5,27,100,78.2,54,5,2.1,0,28.1,28.0,27.9,0.00
11,Jan,12,46,35.0,27,32,27.6,23,93,75.6,53,7,2.4,0,28.2,28.1,28.1,0.00
12,Jan,13,48,38.3,30,41,33.5,27,93,83.5,66,6,2.4,0,28.2,28.1,28.1,0.00
13,Jan,14,46,43.2,39,45,41.3,36,93,91.8,87,7,2.8,0,28.1,28.0,27.9,0.00
14,Jan,15,59,49.2,43,55,48.1,41,100,95.6,82,16,5.9,0,27.9,27.9,27.8,0.00
15,Jan,16,59,56.1,52,55,51.5,45,94,84.6,67,16,9.4,0,27.8,27.8,27.7,0.00
16,Jan,17,55,53.5,50,50,48.0,46,94,83.2,72,28,16.5,7,27.7,27.6,27.5,0.00
17,Jan,18,59,54.0,52,50,47.9,46,94,81.5,67,20,12.4,2,27.8,27.7,27.6,0.00
18,Jan,19,52,44.7,39,50,42.3,32,100,91.5,75,14,6.3,0,27.8,27.7,27.6,0.00
19,Jan,20,50,42.5,34,43,35.6,30,93,77.1,50,12,3.5,0,28.3,28.1,27.8,0.00
20,Jan,21,54,44.8,36,41,38.4,34,93,79.8,54,7,2.2,0,28.4,28.4,28.3,0.00
21,Jan,22,48,39.6,32,43,36.9,32,100,90.4,76,7,1.8,0,28.5,28.4,28.4,0.00
22,Jan,23,61,44.0,32,50,40.8,32,100,89.5,63,5,1.0,0,28.5,28.5,28.5,0.00
23,Jan,24,68,48.5,36,52,43.7,36,100,85.0,52,5,1.2,0,28.5,28.5,28.4,0.00
24,Jan,25,66,48.2,36,52,42.8,36,100,83.3,52,6,1.6,0,28.5,28.4,28.3,0.00
25,Jan,26,68,49.1,37,54,43.1,36,100,81.9,46,3,1.8,0,28.4,28.3,28.3,0.00
26,Jan,27,68,49.5,37,50,42.6,36,93,78.4,49,3,2.1,0,28.3,28.3,28.2,0.00
27,Jan,28,64,48.1,36,46,41.7,36,100,80.3,48,6,2.5,0,28.3,28.2,28.2,0.00
28,Jan,29,61,48.7,39,45,41.9,37,93,78.9,48,7,2.8,0,28.3,28.3,28.2,0.00
29,Jan,30,57,45.6,37,46,41.5,36,100,85.9,63,6,1.9,0,28.4,28.3,28.3,0.00
30,Jan,31,50,40.6,34,45,38.6,32,100,92.3,76,5,1.6,0,28.4,28.4,28.4,0.00
0,Feb,1,64,45.2,34,48,38.4,32,100,79.9,45,7,3.2,0,28.4,28.4,28.3,0.00
1,Feb,2,61,46.7,34,45,38.8,34,100,76.3,48,9,4.1,0,28.4,28.3,28.3,0.00
2,Feb,3,66,46.2,34,43,37.1,32,100,74.5,30,7,2.5,0,28.4,28.3,28.3,0.00
3,Feb,4,64,46.1,32,45,34.4,30,93,67.9,32,5,2.1,0,28.4,28.3,28.3,0.00
4,Feb,5,61,44.6,32,41,36.0,30,93,74.7,42,5,2.4,0,28.3,28.3,28.2,0.00
5,Feb,6,59,45.9,37,45,40.1,36,93,80.7,58,6,2.8,0,28.2,28.2,28.1,0.00
6,Feb,7,54,43.9,34,46,40.9,32,100,89.5,76,9,3.6,1,28.1,28.1,28.0,0.00
7,Feb,8,55,49.5,46,48,44.4,37,100,83.1,51,21,7.7,1,28.0,27.8,27.6,0.00
8,Feb,9,54,50.0,46,52,47.4,43,100,91.2,76,21,11.3,3,27.5,27.3,27.1,0.00
9,Feb,10,52,46.8,45,45,35.6,28,93,65.7,53,24,16.9,9,27.6,27.4,27.1,0.00
10,Feb,11,48,43.3,39,41,34.6,28,93,72.3,57,20,8.9,2,27.8,27.7,27.6,0.00
11,Feb,12,61,50.2,43,50,45.3,41,100,84.8,59,18,9.0,3,28.0,27.8,27.7,0.00
12,Feb,13,61,53.0,46,54,49.0,45,100,86.8,72,12,2.1,0,28.2,28.1,28.0,0.00
13,Feb,14,63,54.5,46,54,50.8,46,100,88.1,72,8,3.6,0,28.2,28.1,28.0,0.00
14,Feb,15,57,52.0,46,54,49.2,45,100,90.5,77,14,4.7,0,28.0,27.9,27.9,0.00
15,Feb,16,61,52.4,45,48,42.3,37,93,70.2,45,10,3.7,0,28.2,28.1,27.9,0.00
16,Feb,17,64,48.6,36,45,36.6,32,93,67.9,30,8,2.6,0,28.4,28.3,28.2,0.00
17,Feb,18,64,47.5,34,43,36.3,32,93,68.7,37,5,1.5,0,28.4,28.4,28.4,0.00
18,Feb,19,68,50.8,37,48,40.8,34,93,71.2,46,6,2.0,0,28.4,28.3,28.3,0.00
19,Feb,20,68,50.4,36,43,36.3,30,87,62.6,24,7,3.1,0,28.3,28.3,28.2,0.00
20,Feb,21,61,47.2,34,46,38.9,32,93,74.4,52,6,1.7,0,28.3,28.2,28.1,0.00
21,Feb,22,57,50.6,41,50,44.9,36,100,81.0,62,26,11.5,0,28.1,27.9,27.7,0.00
22,Feb,23,50,44.8,39,39,33.2,30,76,63.9,47,20,13.0,1,27.8,27.8,27.7,0.00
23,Feb,24,52,44.8,39,36,31.6,28,87,61.3,43,17,10.5,5,27.9,27.8,27.7,0.00
24,Feb,25,57,50.5,43,48,44.5,36,93,80.8,67,28,17.6,7,27.9,27.8,27.6,0.00
25,Feb,26,54,48.2,45,48,36.3,30,88,64.0,44,23,12.2,2,27.8,27.6,27.6,0.00
26,Feb,27,52,45.5,41,32,28.0,25,57,50.8,44,24,13.5,2,28.1,27.9,27.8,0.00
27,Feb,28,55,47.9,41,36,31.5,25,66,53.2,47,22,13.3,3,28.1,28.0,28.0,0.00
28,Feb,29,57,45.1,32,41,33.3,25,93,65.9,40,28,9.2,0,28.1,27.9,27.9,0.00
0,Mar,1,57,45.3,30,39,31.1,23,86,58.6,44,15,9.4,0,28.0,27.9,27.8,0.00
1,Mar,2,48,43.8,36,43,38.4,30,93,81.3,65,28,15.8,5,27.8,27.6,27.4,0.00
2,Mar,3,50,43.4,37,34,30.5,28,81,61.2,43,23,14.1,2,27.9,27.7,27.6,0.00
3,Mar,4,57,49.6,43,45,41.1,34,87,72.7,54,21,11.7,3,28.0,27.9,27.9,0.00
4,Mar,5,55,47.5,34,37,34.5,30,87,61.4,44,13,4.7,0,28.1,28.1,28.0,0.00
5,Mar,6,59,44.2,30,39,34.3,28,93,70.7,41,6,2.6,0,28.1,28.0,27.9,0.00
6,Mar,7,55,45.5,36,45,38.6,34,93,78.1,51,17,7.7,0,27.9,27.7,27.6,0.00
7,Mar,8,54,44.9,39,41,37.4,34,93,76.9,47,24,14.7,5,27.6,27.6,27.4,0.00
8,Mar,9,46,43.8,39,45,38.3,34,93,81.5,66,22,14.4,7,27.4,27.3,27.3,0.00
9,Mar,10,57,47.5,39,43,38.4,34,93,72.8,44,24,13.4,6,27.7,27.5,27.3,0.00
10,Mar,11,57,49.6,43,36,34.3,32,71,55.9,38,21,8.8,0,28.1,27.9,27.7,0.00
11,Mar,12,63,47.5,34,39,36.0,30,93,68.3,37,5,1.5,0,28.1,28.1,28.0,0.00
12,Mar,13,68,51.1,37,43,38.8,34,93,67.4,33,5,2.6,0,28.0,27.9,27.9,0.00
13,Mar,14,63,50.8,39,48,42.1,36,93,73.6,55,15,5.4,0,28.0,28.0,27.9,0.00
14,Mar,15,64,51.3,39,50,45.2,37,100,81.5,55,6,2.6,0,28.1,28.1,28.0,0.00
15,Mar,16,68,53.5,45,52,47.6,43,100,82.3,49,8,2.5,0,28.2,28.1,28.1,0.00
16,Mar,17,70,57.5,45,54,49.1,43,100,75.8,49,6,2.8,0,28.1,28.1,28.0,0.00
17,Mar,18,70,58.3,45,54,49.4,43,94,74.5,49,9,3.3,0,28.0,28.0,27.9,0.00
18,Mar,19,75,60.6,48,52,48.1,41,94,67.5,31,9,3.1,0,27.9,27.9,27.8,0.00
19,Mar,20,72,59.9,46,50,46.4,43,93,63.5,38,17,4.9,0,27.9,27.9,27.8,0.00
20,Mar,21,77,63.0,54,52,48.0,45,82,60.6,36,13,5.3,0,28.1,28.0,27.9,0.00
21,Mar,22,79,63.0,48,54,48.2,43,88,62.7,29,7,1.9,0,28.1,28.0,27.9,0.00
22,Mar,23,77,61.7,48,55,48.5,43,87,64.3,39,9,3.6,0,28.0,27.9,27.9,0.00
23,Mar,24,73,59.5,46,50,45.6,41,87,62.9,35,13,3.1,0,27.9,27.8,27.6,0.00
24,Mar,25,59,53.7,50,54,48.7,41,100,84.2,59,15,5.1,0,27.6,27.4,27.2,0.00
25,Mar,26,52,45.4,39,37,33.6,27,87,64.4,46,23,13.8,7,27.3,27.3,27.2,0.00
